speed_knot,draft_m,displacement_ton,wind_speed_ms,wave_height_m,engine_load_pct,trim_m,fuel_consumption_ton_day
12.5,15.2,145000,5.2,1.2,62,0.3,48.2
14.0,16.8,165000,8.1,2.1,72,0.5,58.7
15.5,18.0,180000,3.5,0.8,82,0.2,71.3
13.0,14.5,138000,12.3,3.5,65,0.8,54.6
16.5,17.5,175000,6.7,1.8,88,0.4,85.2
11.0,13.8,125000,4.2,0.9,55,0.1,38.9
14.5,16.2,158000,9.8,2.8,75,0.6,63.4
13.5,15.8,152000,7.4,1.5,68,0.3,56.1
15.0,17.2,170000,5.1,1.1,80,0.2,68.9
16.0,18.2,182000,11.2,3.2,86,0.7,82.1
12.0,14.8,140000,6.3,1.6,60,0.4,46.8
14.8,16.9,167000,8.9,2.4,77,0.5,66.2
13.8,15.5,150000,4.8,1.0,70,0.2,58.3
15.8,17.8,178000,10.5,2.9,85,0.6,79.5
11.5,14.2,132000,3.8,0.7,57,0.1,41.2
16.2,18.5,185000,7.2,2.0,89,0.4,87.6
12.8,15.0,143000,5.6,1.3,64,0.3,50.1
14.2,16.5,162000,9.1,2.6,74,0.5,60.8
15.2,17.3,172000,6.5,1.7,81,0.3,70.4
13.2,15.2,146000,8.3,2.2,66,0.4,55.3
