선박번호,선박명,선박식별번호(IMO),호출부호,선박길이_상,선박길이_하,선박길이_좌,선박길이_우,수신시각,속도,선수방위,헤딩
414920000,CHANG HANG YUAN HAI,0,BPMO9,161,29,15,17,2024-02-20,0,2160,339
413880062,HENIU127,0,0,110,20,8,8,2024-02-20,64,3031,511
413568460,,0,BPKY3,78,15,7,8,2024-02-20,90,5110,511
413880407,,0,3008,50,23,10,4,2024-02-20,40,1381,511
431023176,HKL AOBA,0,JD5352,45,8,6,3,2024-02-20,99,2616,260
413877283,,0,0,10,57,5,6,2024-02-20,0,3347,511
413874771,,0,8866,5,53,6,5,2024-02-20,37,1740,511
413880497,,0,0,6,66,6,7,2024-02-20,11,261,511
431023362,MAISHINMARU,0,0,0,0,0,0,2024-02-20,0,0,511
413565170,,0,0,17,22,7,4,2024-02-20,0,1928,101
414919000,,0,BPLA3,190,35,12,25,2024-02-20,100,1790,511
413568490,,0,0,12,25,5,3,2024-02-20,80,600,511
352003501,TAI SHAN,9405057,3E5158,42,208,14,30,2024-02-20,10,930,511
413880293,,0,0,10,47,5,5,2024-02-20,0,594,511
413572070,HAI XUN 07605,0,0,511,511,63,63,2024-02-20,0,680,511
538010828,,0,V7A7477,194,31,20,12,2024-02-20,0,3330,511
413880273,,0,0,5,57,6,6,2024-02-20,39,2355,511
412283138,,0,0,10,10,3,3,2024-02-20,2,0,511
413385970,HUA  DIAN  1001,9687629,BPAZ3,80,10,35,4,2024-02-20,0,5110,511
352002691,PACIFIC SUCCESS,9903425,3E5005,231,62,21,25,2024-02-20,125,2627,262
431023209,ILEDEVACANCESTHE3RD,0,0,0,0,0,0,2024-02-20,152,1146,511
413286880,,0,0,40,17,5,4,2024-02-20,70,164,0
413512840,CHANGHANGYOU66,0,BPEW2,40,14,5,4,2024-02-20,0,870,511
414921000,GUO YUAN 707,0,BPXR8,180,35,25,10,2024-02-20,110,1410,511
413879961,,0,0,10,55,5,6,2024-02-20,71,745,511
413041809,,0,0,0,0,0,0,2024-02-20,102,2235,511
636093255,GASCHEM FUJI,9961702,5LOV4,10,106,3,15,2024-02-20,0,2760,511
413880105,,0,0,4,61,5,8,2024-02-20,58,907,511
413880688,,0,0,10,47,5,5,2024-02-20,64,2377,511
413874618,,0,0,7,60,5,6,2024-02-20,59,843,511
413870146,,0,0,21,25,6,3,2024-02-20,0,821,119
273259910,KAZAN,9258002,UBSZ5,208,41,44,0,2024-02-20,0,100,511
413880111,TAIJIANG1308,0,0,110,20,9,7,2024-02-20,0,0,511
538010363,,0,V7A5942,205,45,16,28,2024-02-20,120,870,93
413571310,,0,0,40,10,8,4,2024-02-20,0,200,511
413569360,TONG SHENG 002,0,0,15,25,3,6,2024-02-20,0,2040,511
